ID,CrimeCode,Description,Weapon,Incidents
191499,4E,O,HANDS,1
191500,4B,I,KNIFE,1
191501,4E,O,HANDS,1
191502,4E,O,HANDS,1
191503,4C,O,OTHER,1
191504,4E,I,HANDS,1
191507,4A,O,FIREARM,1
191508,4A,O,FIREARM,1
191511,4E,O,HANDS,1
191512,9S,O,FIREARM,1
191513,9S,O,FIREARM,1
191514,4E,I,HANDS,1
191519,3AK,O,KNIFE,1
191520,3AK,O,KNIFE,1
191521,4A,O,FIREARM,1
191523,4E,I,HANDS,1
191524,4A,O,FIREARM,1
191525,9S,O,FIREARM,1
191526,9S,O,FIREARM,1
191527,4E,O,HANDS,1
191529,4E,O,HANDS,1
191534,4B,O,KNIFE,1
191535,4B,I,KNIFE,1
191537,4C,O,OTHER,1
191538,4E,O,HANDS,1
191539,4E,O,HANDS,1
191543,4E,O,HANDS,1
191555,3AJK,O,KNIFE,1
191558,4E,I,HANDS,1
191562,4E,I,HANDS,1
191565,4E,I,HANDS,1
191570,4A,O,FIREARM,1
191571,3AF,O,FIREARM,1
191572,3AF,O,FIREARM,1
