ID,CrimeCode,Description,Weapon,Incidents
1,4E,I,HANDS,1
2,4B,O,KNIFE,1
3,9S,O,FIREARM,1
4,3AF,O,FIREARM,1
5,6C,I,OTHER,1
6,4C,O,OTHER,1
7,4C,O,OTHER,1
8,4E,I,HANDS,1
9,5D,I,OTHER,1
10,4E,I,HANDS,1
11,3AF,O,FIREARM,1
12,6G,I,OTHER,1
13,4E,I,HANDS,1
14,9S,O,FIREARM,1
15,9S,O,FIREARM,1
16,4E,O,HANDS,1
17,4C,O,OTHER,1
18,5A,I,OTHER,1
19,6H,O,OTHER,1
20,4E,O,HANDS,1
21,4E,I,HANDS,1
22,4F,O,OTHER,1
23,5A,I,OTHER,1
24,6D,O,OTHER,1
25,4C,I,OTHER,1
26,6G,I,OTHER,1
27,4F,I,OTHER,1
28,5A,I,OTHER,1
29,6D,O,OTHER,1
30,6G,I,OTHER,1
31,4E,I,HANDS,1
32,5A,I,OTHER,1
33,4E,I,HANDS,1
34,4E,I,HANDS,1
35,4E,I,HANDS,1
36,3GO,I,OTHER,1
37,5C,I,OTHER,1
38,5B,I,OTHER,1
39,4E,I,HANDS,1
40,5C,I,OTHER,1
41,5A,I,OTHER,1
42,5A,I,OTHER,1
43,4C,I,OTHER,1
44,5A,I,OTHER,1
45,5A,I,OTHER,1
46,6C,I,OTHER,1
47,4A,O,FIREARM,1
48,6G,I,OTHER,1
49,6E,O,OTHER,1
50,7A,O,OTHER,1
51,6D,I,OTHER,1
52,6D,I,OTHER,1
53,4E,I,HANDS,1
54,6G,O,OTHER,1
55,4E,O,HANDS,1
56,5B,I,OTHER,1
57,7A,O,OTHER,1
58,4E,I,HANDS,1
59,4E,I,HANDS,1
60,4C,O,OTHER,1
61,3B,O,OTHER,1
62,4E,O,HANDS,1
63,4E,O,HANDS,1
64,4E,I,HANDS,1
65,6B,O,OTHER,1
66,4E,O,HANDS,1
67,6E,O,OTHER,1
68,3AF,O,FIREARM,1
69,6B,O,OTHER,1
70,4E,I,HANDS,1
71,4E,I,HANDS,1
72,4E,I,HANDS,1
73,4C,I,OTHER,1
74,6G,I,OTHER,1
75,4C,O,OTHER,1
76,4C,O,OTHER,1
77,6C,I,OTHER,1
78,4A,O,FIREARM,1
79,3D,I,OTHER,1
80,4A,O,FIREARM,1
81,5A,I,OTHER,1
82,4E,I,HANDS,1
83,6D,O,OTHER,1
84,3B,O,OTHER,1
85,4C,O,OTHER,1
86,7A,O,OTHER,1
87,3AF,O,FIREARM,1
88,4E,I,HANDS,1
89,5B,I,OTHER,1
90,6J,O,OTHER,1
91,4E,I,HANDS,1
92,4E,I,HANDS,1
93,3CK,I,KNIFE,1
94,6D,O,OTHER,1
95,5A,I,OTHER,1
96,5B,I,OTHER,1
97,6D,O,OTHER,1
98,5A,I,OTHER,1
99,6G,I,OTHER,1
100,5B,I,OTHER,1
101,4F,I,OTHER,1
102,4F,O,OTHER,1
103,6J,I,OTHER,1
104,5A,I,OTHER,1
105,5A,I,OTHER,1
106,7A,O,OTHER,1
107,7A,O,OTHER,1
108,4E,O,HANDS,1
109,6J,I,OTHER,1
110,4C,O,OTHER,1
111,4E,O,HANDS,1
112,4E,O,HANDS,1
113,6E,O,OTHER,1
114,6D,O,OTHER,1
115,6C,I,OTHER,1
116,6C,I,OTHER,1
117,7A,O,OTHER,1
118,7A,O,OTHER,1
119,5C,I,OTHER,1
120,3B,O,OTHER,1
121,4E,O,HANDS,1
122,6J,I,OTHER,1
123,4E,O,HANDS,1
124,6D,O,OTHER,1
125,6G,I,OTHER,1
126,7A,O,OTHER,1
127,6D,O,OTHER,1
128,3NO,I,OTHER,1
129,6C,I,OTHER,1
130,4B,O,KNIFE,1
131,4C,I,OTHER,1
132,6J,I,OTHER,1
133,4C,O,OTHER,1
134,6C,I,OTHER,1
135,4A,O,FIREARM,1
136,4A,O,FIREARM,1
137,6D,O,OTHER,1
138,6D,O,OTHER,1
139,6G,I,OTHER,1
140,4E,I,HANDS,1
141,6D,O,OTHER,1
142,6D,O,OTHER,1
143,6D,O,OTHER,1
144,6D,O,OTHER,1
145,7C,O,OTHER,1
146,4E,I,HANDS,1
147,4C,I,OTHER,1
148,3B,O,OTHER,1
149,7A,O,OTHER,1
150,4E,I,HANDS,1
151,7A,O,OTHER,1
152,6D,O,OTHER,1
153,4E,O,HANDS,1
154,3B,O,OTHER,1
155,6D,O,OTHER,1
156,5D,I,OTHER,1
157,3AF,O,FIREARM,1
158,3AF,O,FIREARM,1
159,3B,O,OTHER,1
160,4E,I,HANDS,1
161,7A,O,OTHER,1
162,6B,O,OTHER,1
163,7A,O,OTHER,1
164,6D,O,OTHER,1
165,5D,I,OTHER,1
166,4E,O,HANDS,1
167,6E,O,OTHER,1
168,4E,O,HANDS,1
169,5A,I,OTHER,1
170,4E,O,HANDS,1
171,4B,O,KNIFE,1
172,4B,I,KNIFE,1
173,4E,O,HANDS,1
174,6J,O,OTHER,1
175,4E,O,HANDS,1
176,4E,I,HANDS,1
177,4F,I,OTHER,1
178,4E,O,HANDS,1
179,6C,I,OTHER,1
180,3B,O,OTHER,1
181,4E,I,HANDS,1
182,4E,O,HANDS,1
183,5D,I,OTHER,1
184,4E,I,HANDS,1
185,4E,I,HANDS,1
186,6D,O,OTHER,1
187,7A,O,OTHER,1
188,4E,I,HANDS,1
189,6D,O,OTHER,1
190,5D,I,OTHER,1
191,5A,I,OTHER,1
192,4C,I,OTHER,1
193,4C,I,OTHER,1
194,6E,O,OTHER,1
195,4E,I,HANDS,1
196,8H,O,OTHER,1
197,4E,O,HANDS,1
198,4E,O,HANDS,1
199,6D,O,OTHER,1
200,4E,I,HANDS,1
201,6D,O,OTHER,1
202,7A,O,OTHER,1
203,6D,O,OTHER,1
204,4A,I,FIREARM,1
205,4E,I,HANDS,1
206,6C,I,OTHER,1
207,6D,O,OTHER,1
208,6D,O,OTHER,1
209,9S,O,FIREARM,1
210,3B,O,OTHER,1
211,5D,I,OTHER,1
212,5A,I,OTHER,1
213,5D,I,OTHER,1
214,7A,O,OTHER,1
215,5D,I,OTHER,1
216,4E,I,HANDS,1
217,5B,I,OTHER,1
218,6D,O,OTHER,1
219,6J,O,OTHER,1
220,6C,I,OTHER,1
221,6D,O,OTHER,1
222,5F,I,OTHER,1
223,5F,I,OTHER,1
224,7A,O,OTHER,1
225,4F,I,OTHER,1
226,6E,O,OTHER,1
227,6J,O,OTHER,1
228,7A,O,OTHER,1
229,7A,I,OTHER,1
230,5A,I,OTHER,1
231,6D,O,OTHER,1
232,6C,I,OTHER,1
233,4C,I,OTHER,1
234,6J,O,OTHER,1
235,5A,I,OTHER,1
236,4E,I,HANDS,1
237,5A,I,OTHER,1
238,4E,I,HANDS,1
239,4F,I,OTHER,1
240,5B,I,OTHER,1
241,4C,I,OTHER,1
242,4E,O,HANDS,1
243,4E,I,HANDS,1
244,4C,O,OTHER,1
245,4C,I,OTHER,1
246,6D,O,OTHER,1
247,6J,O,OTHER,1
248,4E,I,HANDS,1
249,6D,O,OTHER,1
250,6C,O,OTHER,1
251,6D,O,OTHER,1
252,6E,O,OTHER,1
253,6C,I,OTHER,1
254,4E,I,HANDS,1
255,4E,I,HANDS,1
256,4D,O,HANDS,1
257,4C,I,OTHER,1
258,6D,O,OTHER,1
259,6E,O,OTHER,1
260,7A,O,OTHER,1
261,7A,O,OTHER,1
262,5B,I,OTHER,1
263,5D,I,OTHER,1
264,6E,O,OTHER,1
265,6C,I,OTHER,1
266,6G,I,OTHER,1
267,6J,I,OTHER,1
268,6D,O,OTHER,1
269,4C,I,OTHER,1
270,3K,I,OTHER,1
271,3AF,O,FIREARM,1
272,6E,O,OTHER,1
273,7A,O,OTHER,1
274,3CK,I,KNIFE,1
275,3AF,O,FIREARM,1
276,3GK,I,KNIFE,1
277,6D,O,OTHER,1
278,6D,O,OTHER,1
279,4F,I,OTHER,1
280,7A,I,OTHER,1
281,3H,I,OTHER,1
282,4E,I,HANDS,1
283,6G,I,OTHER,1
284,3AJF,O,FIREARM,1
285,6J,O,OTHER,1
286,5A,I,OTHER,1
287,6E,O,OTHER,1
288,5C,I,OTHER,1
289,6E,O,OTHER,1
290,3B,O,OTHER,1
291,4E,I,HANDS,1
292,6C,I,OTHER,1
293,6E,O,OTHER,1
294,7A,O,OTHER,1
295,3AJF,O,FIREARM,1
296,3B,O,OTHER,1
297,8EO,I,OTHER,1
298,5F,I,OTHER,1
299,6C,I,OTHER,1
300,6E,I,OTHER,1
301,4E,O,HANDS,1
302,6J,I,OTHER,1
303,6J,I,OTHER,1
304,7A,O,OTHER,1
305,4E,I,HANDS,1
306,6J,O,OTHER,1
307,6E,O,OTHER,1
308,6J,O,OTHER,1
309,3BJ,O,OTHER,1
310,6D,I,OTHER,1
311,4E,O,HANDS,1
312,3B,O,OTHER,1
313,5A,I,OTHER,1
314,6J,I,OTHER,1
315,4C,I,OTHER,1
316,4E,I,HANDS,1
317,6E,O,OTHER,1
318,6E,O,OTHER,1
319,4E,I,HANDS,1
320,3AK,O,KNIFE,1
321,6J,O,OTHER,1
322,4A,I,FIREARM,1
323,4E,I,HANDS,1
324,3B,O,OTHER,1
325,4E,O,HANDS,1
326,9S,I,FIREARM,1
327,6D,O,OTHER,1
328,5D,I,OTHER,1
329,4A,I,FIREARM,1
330,6D,I,OTHER,1
331,4C,O,OTHER,1
332,4E,I,HANDS,1
333,4C,I,OTHER,1
334,6E,O,OTHER,1
335,6D,O,OTHER,1
336,4E,O,HANDS,1
337,5A,I,OTHER,1
338,5A,I,OTHER,1
339,6J,O,OTHER,1
340,6D,O,OTHER,1
341,6G,I,OTHER,1
342,5B,I,OTHER,1
343,4A,O,FIREARM,1
344,4C,I,OTHER,1
345,6J,O,OTHER,1
346,5A,I,OTHER,1
347,3B,O,OTHER,1
348,6C,I,OTHER,1
349,6E,O,OTHER,1
350,4A,I,FIREARM,1
351,5A,I,OTHER,1
352,6D,I,OTHER,1
353,7A,I,OTHER,1
354,6J,I,OTHER,1
355,7A,O,OTHER,1
356,6J,I,OTHER,1
357,4B,O,KNIFE,1
358,8AO,I,OTHER,1
359,6G,O,OTHER,1
360,7A,O,OTHER,1
361,6E,O,OTHER,1
362,5A,I,OTHER,1
363,6E,O,OTHER,1
364,4E,I,HANDS,1
365,7A,O,OTHER,1
366,7A,O,OTHER,1
367,4E,O,HANDS,1
368,6D,O,OTHER,1
369,3AF,O,FIREARM,1
370,6C,I,OTHER,1
371,4F,O,OTHER,1
372,4E,I,HANDS,1
373,4C,I,OTHER,1
374,6D,O,OTHER,1
375,6C,I,OTHER,1
376,6A,I,OTHER,1
377,4E,I,HANDS,1
378,4F,O,OTHER,1
379,6B,O,OTHER,1
380,6B,O,OTHER,1
381,3AO,O,OTHER,1
382,7A,I,OTHER,1
383,6C,I,OTHER,1
384,7A,O,OTHER,1
385,6J,O,OTHER,1
386,4A,O,FIREARM,1
387,4E,O,HANDS,1
388,6D,O,OTHER,1
389,6J,O,OTHER,1
390,9S,O,FIREARM,1
391,6D,O,OTHER,1
392,7A,O,OTHER,1
393,6D,O,OTHER,1
394,6D,O,OTHER,1
395,5A,I,OTHER,1
396,4C,O,OTHER,1
397,5B,I,OTHER,1
398,4E,O,HANDS,1
399,4E,O,HANDS,1
400,6E,O,OTHER,1
401,5D,O,OTHER,1
402,7A,O,OTHER,1
403,4E,O,HANDS,1
404,7A,O,OTHER,1
405,6E,O,OTHER,1
406,4E,O,HANDS,1
407,4E,I,HANDS,1
408,6D,O,OTHER,1
409,6D,O,OTHER,1
410,4E,O,HANDS,1
411,4E,I,HANDS,1
412,6D,O,OTHER,1
413,4E,I,HANDS,1
414,6D,O,OTHER,1
415,7A,O,OTHER,1
416,6D,O,OTHER,1
417,6E,O,OTHER,1
418,5A,I,OTHER,1
419,6E,O,OTHER,1
420,7A,O,OTHER,1
421,7A,O,OTHER,1
422,5A,I,OTHER,1
423,4E,I,HANDS,1
424,5D,I,OTHER,1
425,4C,I,OTHER,1
426,7A,O,OTHER,1
427,5A,I,OTHER,1
428,5D,I,OTHER,1
429,4E,O,HANDS,1
430,6C,I,OTHER,1
431,6C,I,OTHER,1
432,5A,I,OTHER,1
433,6E,O,OTHER,1
434,7A,O,OTHER,1
435,5B,I,OTHER,1
436,1F,O,FIREARM,1
437,6C,I,OTHER,1
438,3AF,O,FIREARM,1
439,5A,I,OTHER,1
440,6E,O,OTHER,1
441,3BJ,O,OTHER,1
442,6D,O,OTHER,1
443,6D,O,OTHER,1
444,6D,O,OTHER,1
445,6D,O,OTHER,1
446,6G,I,OTHER,1
447,5A,I,OTHER,1
448,6G,O,OTHER,1
449,3CO,I,OTHER,1
450,6F,O,OTHER,1
451,5A,I,OTHER,1
452,5B,I,OTHER,1
453,5A,I,OTHER,1
454,5A,I,OTHER,1
455,5D,I,OTHER,1
456,6D,O,OTHER,1
457,5A,I,OTHER,1
458,5B,I,OTHER,1
459,5D,I,OTHER,1
460,4E,O,HANDS,1
461,4E,O,HANDS,1
462,6C,I,OTHER,1
463,4E,O,HANDS,1
464,6H,I,OTHER,1
465,4E,I,HANDS,1
466,4E,O,HANDS,1
467,7A,O,OTHER,1
468,4D,I,HANDS,1
469,4F,I,OTHER,1
470,5B,I,OTHER,1
471,6E,O,OTHER,1
472,6E,O,OTHER,1
473,5A,I,OTHER,1
474,4A,O,FIREARM,1
475,6C,I,OTHER,1
476,6J,O,OTHER,1
477,7A,O,OTHER,1
478,5A,I,OTHER,1
479,3CK,I,KNIFE,1
480,6D,O,OTHER,1
481,6E,O,OTHER,1
482,5E,O,OTHER,1
483,3D,I,OTHER,1
484,7A,O,OTHER,1
485,7A,O,OTHER,1
486,6G,I,OTHER,1
487,7A,O,OTHER,1
488,4A,O,FIREARM,1
489,5D,I,OTHER,1
490,3B,O,OTHER,1
491,6C,I,OTHER,1
492,3B,O,OTHER,1
493,5A,I,OTHER,1
494,4E,O,HANDS,1
495,6D,O,OTHER,1
496,4E,I,HANDS,1
497,5A,I,OTHER,1
498,7A,O,OTHER,1
499,7A,O,OTHER,1
500,5D,I,OTHER,1
501,4E,O,HANDS,1
502,3AF,I,FIREARM,1
503,7A,O,OTHER,1
504,7A,O,OTHER,1
505,6G,I,OTHER,1
506,4E,I,HANDS,1
507,7A,O,OTHER,1
508,6D,O,OTHER,1
509,7A,O,OTHER,1
510,6E,O,OTHER,1
511,7C,O,OTHER,1
512,3AF,O,FIREARM,1
513,4E,O,HANDS,1
514,4E,O,HANDS,1
515,6D,O,OTHER,1
516,7A,O,OTHER,1
517,6E,O,OTHER,1
518,7A,O,OTHER,1
519,4C,O,OTHER,1
520,7A,O,OTHER,1
521,7A,I,OTHER,1
522,7C,O,OTHER,1
523,4A,O,FIREARM,1
524,6E,O,OTHER,1
525,5F,I,OTHER,1
526,5A,I,OTHER,1
527,7A,O,OTHER,1
528,4E,I,HANDS,1
529,6D,O,OTHER,1
530,7A,O,OTHER,1
531,5B,I,OTHER,1
532,6H,O,OTHER,1
533,4A,O,FIREARM,1
534,6J,O,OTHER,1
535,5D,I,OTHER,1
536,3AO,O,OTHER,1
537,4E,O,HANDS,1
538,4B,O,KNIFE,1
539,9S,O,FIREARM,1
540,9S,O,FIREARM,1
541,7C,O,OTHER,1
542,3B,O,OTHER,1
543,5A,I,OTHER,1
544,7A,O,OTHER,1
545,5D,O,OTHER,1
546,6D,O,OTHER,1
547,7C,O,OTHER,1
548,6E,O,OTHER,1
549,4B,I,KNIFE,1
550,5A,I,OTHER,1
551,7A,O,OTHER,1
552,5C,I,OTHER,1
553,6G,I,OTHER,1
554,5C,I,OTHER,1
555,5A,I,OTHER,1
556,4C,I,OTHER,1
557,6E,O,OTHER,1
558,3AK,O,KNIFE,1
559,5A,I,OTHER,1
560,6C,I,OTHER,1
561,6E,O,OTHER,1
562,6D,O,OTHER,1
563,5D,I,OTHER,1
564,7A,O,OTHER,1
565,3K,I,OTHER,1
566,6D,O,OTHER,1
567,6E,O,OTHER,1
568,4C,O,OTHER,1
569,7A,O,OTHER,1
570,4E,O,HANDS,1
571,6D,O,OTHER,1
572,5A,I,OTHER,1
573,4E,I,HANDS,1
574,7A,O,OTHER,1
575,5A,I,OTHER,1
576,4E,O,HANDS,1
577,4C,O,OTHER,1
578,7A,I,OTHER,1
579,3AF,O,FIREARM,1
580,5D,I,OTHER,1
581,6D,O,OTHER,1
582,6J,O,OTHER,1
583,4E,I,HANDS,1
584,4E,O,HANDS,1
585,5A,I,OTHER,1
586,6D,O,OTHER,1
587,4D,I,HANDS,1
588,5A,I,OTHER,1
589,6G,I,OTHER,1
590,5B,I,OTHER,1
591,3AJF,O,FIREARM,1
592,6C,I,OTHER,1
593,5A,I,OTHER,1
594,5B,I,OTHER,1
595,6J,O,OTHER,1
596,5A,I,OTHER,1
597,4C,O,OTHER,1
598,4C,O,OTHER,1
599,7A,O,OTHER,1
600,6D,O,OTHER,1
601,4B,I,KNIFE,1
602,3CF,I,FIREARM,1
603,7A,O,OTHER,1
604,6G,I,OTHER,1
605,4E,I,HANDS,1
606,5A,I,OTHER,1
607,4C,O,OTHER,1
608,5B,I,OTHER,1
609,6J,O,OTHER,1
610,4E,I,HANDS,1
611,5A,I,OTHER,1
612,6D,O,OTHER,1
613,3CF,I,FIREARM,1
614,3CF,I,FIREARM,1
615,6D,O,OTHER,1
616,6J,O,OTHER,1
617,6G,I,OTHER,1
618,7A,O,OTHER,1
619,6J,O,OTHER,1
620,4C,I,OTHER,1
621,5A,I,OTHER,1
622,3B,O,OTHER,1
623,4E,O,HANDS,1
624,6C,I,OTHER,1
625,4A,O,FIREARM,1
626,6D,O,OTHER,1
627,1F,O,FIREARM,1
628,9S,O,FIREARM,1
629,6C,I,OTHER,1
630,6E,O,OTHER,1
631,6D,O,OTHER,1
632,6C,I,OTHER,1
633,6D,O,OTHER,1
634,4E,O,HANDS,1
635,6E,O,OTHER,1
636,4E,I,HANDS,1
637,6C,I,OTHER,1
638,4E,I,HANDS,1
639,4E,O,HANDS,1
640,6D,O,OTHER,1
641,4E,I,HANDS,1
642,6D,O,OTHER,1
643,6D,O,OTHER,1
644,6J,O,OTHER,1
645,6F,I,OTHER,1
646,4C,O,OTHER,1
647,6D,O,OTHER,1
648,6G,I,OTHER,1
649,6B,O,OTHER,1
650,4C,O,OTHER,1
651,4C,O,OTHER,1
652,4C,O,OTHER,1
653,3AF,O,FIREARM,1
654,4B,I,KNIFE,1
655,4E,I,HANDS,1
656,4E,I,HANDS,1
657,4D,I,HANDS,1
658,7A,O,OTHER,1
659,4B,O,KNIFE,1
660,3AO,I,OTHER,1
661,4E,I,HANDS,1
662,4E,I,HANDS,1
663,4E,O,HANDS,1
664,7A,O,OTHER,1
665,3CF,I,FIREARM,1
666,4D,O,HANDS,1
667,3AJF,I,FIREARM,1
668,3AJF,I,FIREARM,1
669,6E,O,OTHER,1
670,6E,O,OTHER,1
671,4E,I,HANDS,1
672,4C,O,OTHER,1
673,4E,O,HANDS,1
674,3BJ,O,OTHER,1
675,4E,I,HANDS,1
676,3CF,O,FIREARM,1
677,6J,O,OTHER,1
678,7A,O,OTHER,1
679,3K,I,OTHER,1
680,6D,O,OTHER,1
681,5A,I,OTHER,1
682,4A,O,FIREARM,1
683,3AO,O,OTHER,1
684,4E,I,HANDS,1
685,2A,I,OTHER,1
686,4E,O,HANDS,1
687,4E,I,HANDS,1
688,5D,I,OTHER,1
689,6D,I,OTHER,1
690,7A,O,OTHER,1
691,4C,O,OTHER,1
692,6D,O,OTHER,1
693,5D,O,OTHER,1
694,4A,I,FIREARM,1
695,5A,I,OTHER,1
696,6J,O,OTHER,1
697,7A,O,OTHER,1
698,6G,I,OTHER,1
699,6J,O,OTHER,1
700,4E,I,HANDS,1
701,6J,O,OTHER,1
702,6D,O,OTHER,1
703,7A,O,OTHER,1
704,6E,O,OTHER,1
705,4E,O,HANDS,1
706,4E,O,HANDS,1
707,6D,O,OTHER,1
708,6J,I,OTHER,1
709,6J,I,OTHER,1
710,5A,O,OTHER,1
711,3B,O,OTHER,1
712,6G,I,OTHER,1
713,7C,O,OTHER,1
714,4A,O,FIREARM,1
715,4E,O,HANDS,1
716,6D,O,OTHER,1
717,3AJF,O,FIREARM,1
718,3B,O,OTHER,1
719,9S,O,FIREARM,1
720,6D,O,OTHER,1
721,6F,I,OTHER,1
722,4E,O,HANDS,1
723,6J,I,OTHER,1
724,6G,I,OTHER,1
725,4C,I,OTHER,1
726,7A,O,OTHER,1
727,6E,O,OTHER,1
728,6E,O,OTHER,1
729,6E,O,OTHER,1
730,6C,I,OTHER,1
731,7A,O,OTHER,1
732,6D,O,OTHER,1
733,5A,I,OTHER,1
734,2A,O,OTHER,1
735,4C,O,OTHER,1
736,4E,I,HANDS,1
737,6D,O,OTHER,1
738,7A,O,OTHER,1
739,5D,I,OTHER,1
740,4B,O,KNIFE,1
741,6J,O,OTHER,1
742,4C,O,OTHER,1
743,5C,I,OTHER,1
744,6J,I,OTHER,1
745,6J,O,OTHER,1
746,6F,O,OTHER,1
747,7A,O,OTHER,1
748,6E,O,OTHER,1
749,4E,I,HANDS,1
750,7A,O,OTHER,1
751,5A,I,OTHER,1
752,4E,O,HANDS,1
753,6J,O,OTHER,1
754,3AF,O,FIREARM,1
755,4E,O,HANDS,1
756,4A,O,FIREARM,1
757,6E,O,OTHER,1
758,6D,I,OTHER,1
759,7A,O,OTHER,1
760,4A,I,FIREARM,1
761,4A,I,FIREARM,1
762,4E,I,HANDS,1
763,6D,O,OTHER,1
764,5A,I,OTHER,1
765,6D,O,OTHER,1
766,4E,I,HANDS,1
767,4E,I,HANDS,1
768,4C,O,OTHER,1
769,4E,O,HANDS,1
770,7A,O,OTHER,1
771,7A,O,OTHER,1
772,6E,O,OTHER,1
773,4E,I,HANDS,1
774,6J,I,OTHER,1
775,4E,I,HANDS,1
776,4E,I,HANDS,1
777,5D,I,OTHER,1
778,5D,I,OTHER,1
779,7A,O,OTHER,1
780,7A,O,OTHER,1
781,4E,I,HANDS,1
782,7A,O,OTHER,1
783,6D,O,OTHER,1
784,8BO,I,OTHER,1
785,6E,O,OTHER,1
786,3B,O,OTHER,1
787,4D,I,HANDS,1
788,4B,O,KNIFE,1
789,6G,O,OTHER,1
790,4E,O,HANDS,1
791,6E,O,OTHER,1
792,6D,O,OTHER,1
793,4E,O,HANDS,1
794,5D,I,OTHER,1
795,3F,O,OTHER,1
796,3D,I,OTHER,1
797,6J,O,OTHER,1
798,5A,I,OTHER,1
799,6D,O,OTHER,1
800,3AO,O,OTHER,1
801,6E,O,OTHER,1
802,6D,O,OTHER,1
803,6D,O,OTHER,1
804,4E,I,HANDS,1
805,4E,I,HANDS,1
806,6G,I,OTHER,1
807,9S,O,FIREARM,1
808,9S,O,FIREARM,1
809,6J,O,OTHER,1
810,4B,I,KNIFE,1
811,4A,O,FIREARM,1
812,9S,O,FIREARM,1
813,1F,O,FIREARM,1
814,4E,I,HANDS,1
815,8H,O,OTHER,1
816,6J,O,OTHER,1
817,3B,I,OTHER,1
818,7A,O,OTHER,1
819,4E,I,HANDS,1
820,4E,I,HANDS,1
821,3AF,O,FIREARM,1
822,4C,I,OTHER,1
823,4E,O,HANDS,1
824,4C,I,OTHER,1
825,5D,I,OTHER,1
826,6D,O,OTHER,1
827,4C,O,OTHER,1
828,6D,O,OTHER,1
829,3K,I,OTHER,1
830,6G,I,OTHER,1
831,3K,I,OTHER,1
832,5A,I,OTHER,1
833,3AF,O,FIREARM,1
834,3K,I,OTHER,1
835,4D,I,HANDS,1
836,6C,I,OTHER,1
837,4C,O,OTHER,1
838,6D,O,OTHER,1
839,4E,I,HANDS,1
840,4C,O,OTHER,1
841,6D,I,OTHER,1
842,6E,O,OTHER,1
843,6D,O,OTHER,1
844,4E,I,HANDS,1
845,6D,O,OTHER,1
846,5A,I,OTHER,1
847,6A,I,OTHER,1
848,3P,O,OTHER,1
849,3NK,I,KNIFE,1
850,3P,I,OTHER,1
851,3P,I,OTHER,1
852,6F,O,OTHER,1
853,4B,I,KNIFE,1
854,7A,O,OTHER,1
855,7A,O,OTHER,1
856,6D,O,OTHER,1
857,6D,O,OTHER,1
858,4D,I,HANDS,1
859,6E,O,OTHER,1
860,1F,O,FIREARM,1
861,6D,O,OTHER,1
862,4D,I,HANDS,1
863,6C,I,OTHER,1
864,3P,O,OTHER,1
865,3P,O,OTHER,1
866,5D,I,OTHER,1
867,6C,I,OTHER,1
868,4E,I,HANDS,1
869,4C,I,OTHER,1
870,4C,I,OTHER,1
871,6J,O,OTHER,1
872,6G,I,OTHER,1
873,4E,I,HANDS,1
874,4E,I,HANDS,1
875,4C,I,OTHER,1
876,4E,O,HANDS,1
877,4E,O,HANDS,1
878,6D,O,OTHER,1
879,6B,O,OTHER,1
880,7A,O,OTHER,1
881,5A,I,OTHER,1
882,4C,O,OTHER,1
883,4C,I,OTHER,1
884,4C,O,OTHER,1
885,4C,O,OTHER,1
886,4C,O,OTHER,1
887,4C,O,OTHER,1
888,4C,O,OTHER,1
889,4C,O,OTHER,1
890,4C,O,OTHER,1
891,5D,I,OTHER,1
892,4E,O,HANDS,1
893,6B,O,OTHER,1
894,5D,O,OTHER,1
895,5A,I,OTHER,1
896,5A,I,OTHER,1
897,3AK,O,KNIFE,1
898,6D,O,OTHER,1
899,5A,I,OTHER,1
900,6D,O,OTHER,1
901,6D,O,OTHER,1
902,6F,I,OTHER,1
903,3CF,I,FIREARM,1
904,4B,O,KNIFE,1
905,6D,O,OTHER,1
906,6E,O,OTHER,1
907,6J,O,OTHER,1
908,6E,O,OTHER,1
909,4C,O,OTHER,1
910,4E,I,HANDS,1
911,3AF,O,FIREARM,1
912,7A,O,OTHER,1
913,7A,O,OTHER,1
914,7A,O,OTHER,1
915,5D,I,OTHER,1
916,6F,O,OTHER,1
917,3AO,O,OTHER,1
918,3AO,O,OTHER,1
919,3B,O,OTHER,1
920,4C,O,OTHER,1
921,4C,O,OTHER,1
922,4C,O,OTHER,1
923,3AF,O,FIREARM,1
924,3AF,O,FIREARM,1
925,3B,O,OTHER,1
926,4E,O,HANDS,1
927,5C,I,OTHER,1
928,7A,O,OTHER,1
929,4E,I,HANDS,1
930,4D,I,HANDS,1
931,6E,O,OTHER,1
932,7A,O,OTHER,1
933,6D,O,OTHER,1
934,1F,O,FIREARM,1
935,9S,O,FIREARM,1
936,9S,O,FIREARM,1
937,6E,O,OTHER,1
938,3CF,I,FIREARM,1
939,6G,I,OTHER,1
940,5D,I,OTHER,1
941,7A,O,OTHER,1
942,6J,I,OTHER,1
943,4E,I,HANDS,1
944,3B,O,OTHER,1
945,7A,O,OTHER,1
946,5D,I,OTHER,1
947,4B,O,KNIFE,1
948,4A,O,FIREARM,1
949,9S,O,FIREARM,1
950,9S,O,FIREARM,1
951,5A,I,OTHER,1
952,6G,I,OTHER,1
953,6D,O,OTHER,1
954,4F,O,OTHER,1
955,5A,I,OTHER,1
956,4E,I,HANDS,1
957,4E,I,HANDS,1
958,6D,O,OTHER,1
959,5A,I,OTHER,1
960,7A,O,OTHER,1
961,6J,I,OTHER,1
962,6D,O,OTHER,1
963,6B,O,OTHER,1
964,5A,I,OTHER,1
965,5A,I,OTHER,1
966,9S,O,FIREARM,1
967,6J,I,OTHER,1
968,7A,O,OTHER,1
969,5A,I,OTHER,1
970,4E,I,HANDS,1
971,4E,I,HANDS,1
972,5D,I,OTHER,1
973,6G,I,OTHER,1
974,6D,O,OTHER,1
975,4F,I,OTHER,1
976,4E,I,HANDS,1
977,4C,I,OTHER,1
978,5D,I,OTHER,1
979,7A,O,OTHER,1
980,4F,O,OTHER,1
981,4F,O,OTHER,1
982,4E,I,HANDS,1
983,6D,O,OTHER,1
984,4E,I,HANDS,1
985,3AF,O,FIREARM,1
986,7A,O,OTHER,1
